1	0
2	1.6
3	13.3
4	16
5	7.3
6	10
7	21
8	13
9	4
10	10
11	4
12	3
13	3
14	3
15	2
16	3
17	2
18	2
19	4
20	3
21	7
22	21
23	4
24	5
25	4.2
26	13.65
27	2
28	2
29	4
30	3.9
31	6
32	3
33	3
34	18
35	42
36	4
37	12
38	4
39	7.36
40	6
41	3
42	4
43	5
44	3.3
45	8
46	3
47	2
48	5.82
49	9
50	4
51	14.08
52	8
53	11
54	10
55	20
56	8
57	3
58	3
59	11
60	2
61	3
62	11
63	4
64	6
65	3
66	4
67	6.4
68	12
69	6
70	5
71	14.37
72	5
73	6
74	6
75	4
76	5
77	7
78	12
79	4
80	16
81	3
82	5
83	5
84	3
85	2.6
86	6
87	10.9
88	4
89	3.4
90	5
91	6
92	7
93	6
94	4.5
95	3
96	5
97	4
98	4
99	7
100	7
101	5
102	3
103	8
104	13
105	7
106	2.3
107	5
108	2
109	3
110	3
111	4
112	7.3
113	5
114	2
115	9
116	5.6
117	4
118	7
119	16
120	6
121	7
122	25
123	3
124	4
125	6
126	17
127	7.92
128	4
129	2
130	21
131	2
132	8
133	4
134	5
135	2
136	3.88
137	3.18
138	2
139	5
140	4
141	10
142	12.63
143	11
144	2
145	6
146	7
147	5
148	3
149	3.2
150	6
151	8
152	2
153	5
154	6
155	3
156	12
157	9
158	7
159	16
160	9
161	6
162	3.83
163	5
164	10
165	8
166	4
167	3
168	4
169	7
170	19
171	6.44
172	37
173	3
174	2
175	7
176	4
177	4
178	17
179	3
180	3.3
181	2
182	5
183	18.3
184	4
185	40
186	4
187	2
188	11
189	21
190	24
191	4
192	23.59
193	16.3
194	4
195	5
196	7
197	14
198	7
199	3
200	6
201	3
